endpoint,identity,status,bytes,flag
"GET [999999999] /api/customers/:id/blacklist","nobody",429,55,""
"GET /api/customers/:id/blacklist","viewer",429,55,""
"GET [999999999] /api/customers/:id/blacklist","viewer",429,55,""
"GET /api/customers/:id/blacklist","manager",429,55,""
"GET [999999999] /api/customers/:id/blacklist","manager",429,55,""
"GET /api/customers/:id/blacklist","admin",429,55,""
"GET [999999999] /api/customers/:id/blacklist","admin",429,55,""
"GET /api/customers/:id/blacklist","portal-admin",429,55,""
"GET [999999999] /api/customers/:id/blacklist","portal-admin",429,55,""
"GET /api/customers/:id/blacklist","portal-other",429,55,""
"GET [999999999] /api/customers/:id/blacklist","portal-other",429,55,""
"GET /api/customers/:id/blacklist","portal-driver",429,55,""
"GET [999999999] /api/customers/:id/blacklist","portal-driver",429,55,""
"POST /api/vehicles/:id/blacklist","anon",429,55,""
"POST /api/vehicles/:id/blacklist","nobody",429,55,""
"POST /api/vehicles/:id/blacklist","viewer",429,55,""
"POST /api/vehicles/:id/blacklist","portal-admin",429,55,""
"POST /api/vehicles/:id/blacklist","portal-other",429,55,""
"POST /api/vehicles/:id/blacklist","portal-driver",429,55,""
"DELETE /api/blacklist/:id","anon",429,55,""
"DELETE /api/blacklist/:id","nobody",429,55,""
"DELETE /api/blacklist/:id","viewer",429,55,""
"DELETE /api/blacklist/:id","portal-admin",429,55,""
"DELETE /api/blacklist/:id","portal-other",429,55,""
"DELETE /api/blacklist/:id","portal-driver",429,55,""
"GET /api/vehicles/:vehicleId/blacklist/check/:customerId","anon",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/blacklist/check/:customerId","anon",429,55,""
"GET /api/vehicles/:vehicleId/blacklist/check/:customerId","nobody",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/blacklist/check/:customerId","nobody",429,55,""
"GET /api/vehicles/:vehicleId/blacklist/check/:customerId","viewer",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/blacklist/check/:customerId","viewer",429,55,""
"GET /api/vehicles/:vehicleId/blacklist/check/:customerId","manager",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/blacklist/check/:customerId","manager",429,55,""
"GET /api/vehicles/:vehicleId/blacklist/check/:customerId","admin",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/blacklist/check/:customerId","admin",429,55,""
"GET /api/vehicles/:vehicleId/blacklist/check/:customerId","portal-admin",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/blacklist/check/:customerId","portal-admin",429,55,""
"GET /api/vehicles/:vehicleId/blacklist/check/:customerId","portal-other",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/blacklist/check/:customerId","portal-other",429,55,""
"GET /api/vehicles/:vehicleId/blacklist/check/:customerId","portal-driver",429,55,""
"GET [999999999] /api/vehicles/:vehicleId/blacklist/check/:customerId","portal-driver",429,55,""
"GET /api/blacklist","anon",429,55,""
"GET /api/blacklist","nobody",429,55,""
"GET /api/blacklist","viewer",429,55,""
"GET /api/blacklist","manager",429,55,""
"GET /api/blacklist","admin",429,55,""
"GET /api/blacklist","portal-admin",429,55,""
"GET /api/blacklist","portal-other",429,55,""
"GET /api/blacklist","portal-driver",429,55,""
"GET /api/rdw/vehicle/:licensePlate","anon",429,55,""
"GET [999999999] /api/rdw/vehicle/:licensePlate","anon",429,55,""
"GET /api/rdw/vehicle/:licensePlate","nobody",429,55,""
"GET [999999999] /api/rdw/vehicle/:licensePlate","nobody",429,55,""
"GET /api/rdw/vehicle/:licensePlate","viewer",429,55,""
"GET [999999999] /api/rdw/vehicle/:licensePlate","viewer",429,55,""
"GET /api/rdw/vehicle/:licensePlate","manager",429,55,""
"GET [999999999] /api/rdw/vehicle/:licensePlate","manager",429,55,""
"GET /api/rdw/vehicle/:licensePlate","admin",429,55,""
"GET [999999999] /api/rdw/vehicle/:licensePlate","admin",429,55,""
"GET /api/rdw/vehicle/:licensePlate","portal-admin",429,55,""
"GET [999999999] /api/rdw/vehicle/:licensePlate","portal-admin",429,55,""
"GET /api/rdw/vehicle/:licensePlate","portal-other",429,55,""
"GET [999999999] /api/rdw/vehicle/:licensePlate","portal-other",429,55,""
"GET /api/rdw/vehicle/:licensePlate","portal-driver",429,55,""
"GET [999999999] /api/rdw/vehicle/:licensePlate","portal-driver",429,55,""
"GET /api/customers","anon",429,55,""
"GET /api/customers","nobody",429,55,""
"GET /api/customers","viewer",429,55,""
"GET /api/customers","manager",429,55,""
"GET /api/customers","admin",429,55,""
"GET /api/customers","portal-admin",429,55,""
"GET /api/customers","portal-other",429,55,""
"GET /api/customers","portal-driver",429,55,""
"GET /api/customers/with-reservations","anon",429,55,""
"GET /api/customers/with-reservations","nobody",429,55,""
"GET /api/customers/with-reservations","viewer",429,55,""
"GET /api/customers/with-reservations","manager",429,55,""
"GET /api/customers/with-reservations","admin",429,55,""
"GET /api/customers/with-reservations","portal-admin",429,55,""
"GET /api/customers/with-reservations","portal-other",429,55,""
"GET /api/customers/with-reservations","portal-driver",429,55,""
"GET /api/customers/:id","anon",429,55,""
"GET [999999999] /api/customers/:id","anon",429,55,""
"GET /api/customers/:id","nobody",429,55,""
"GET [999999999] /api/customers/:id","nobody",429,55,""
"GET /api/customers/:id","viewer",429,55,""
"GET [999999999] /api/customers/:id","viewer",429,55,""
"GET /api/customers/:id","manager",429,55,""
"GET [999999999] /api/customers/:id","manager",429,55,""
"GET /api/customers/:id","admin",429,55,""
"GET [999999999] /api/customers/:id","admin",429,55,""
"GET /api/customers/:id","portal-admin",429,55,""
"GET [999999999] /api/customers/:id","portal-admin",429,55,""
"GET /api/customers/:id","portal-other",429,55,""
"GET [999999999] /api/customers/:id","portal-other",429,55,""
"GET /api/customers/:id","portal-driver",429,55,""
"GET [999999999] /api/customers/:id","portal-driver",429,55,""
"POST /api/customers","anon",429,55,""
"POST /api/customers","nobody",429,55,""
"POST /api/customers","viewer",429,55,""
"POST /api/customers","portal-admin",429,55,""
"POST /api/customers","portal-other",429,55,""
"POST /api/customers","portal-driver",429,55,""
"PATCH /api/customers/:id","anon",429,55,""
